iter	MultiClass
0	1.002029744
1	0.9187747065
2	0.8465895491
3	0.7825115658
4	0.725520765
5	0.6742226214
6	0.628066132
7	0.5860910517
8	0.5477618564
9	0.5129304478
10	0.4809624134
11	0.4513609894
12	0.4242698616
13	0.3990455248
14	0.3756707095
15	0.3540475803
16	0.3339721681
17	0.3152132812
18	0.2976870673
19	0.281285706
20	0.2660282338
21	0.2516727417
22	0.2382068734
23	0.2255866955
24	0.2137366285
25	0.2026046484
26	0.1921123885
27	0.1821729814
28	0.1730031874
29	0.1643211821
30	0.1560729837
31	0.1483255057
32	0.1410386376
33	0.1341032586
34	0.1275632285
35	0.1214539385
36	0.1155404204
37	0.1096402763
38	0.1044036569
39	0.09943637229
40	0.09482933318
41	0.09030638159
42	0.0860646179
43	0.0821529431
44	0.07836666969
45	0.07486649806
46	0.07123194961
47	0.06804856287
48	0.06499825592
49	0.06191628974
50	0.05904683019
51	0.05650922448
52	0.05389156873
53	0.05162962181
54	0.04929446637
55	0.04700777268
56	0.04494411948
57	0.04310423931
58	0.04129596193
59	0.03965219545
60	0.03784401893
61	0.03622432215
62	0.03469306481
63	0.03330215472
64	0.03201985985
65	0.03074396996
66	0.02960514007
67	0.02846854425
68	0.0272532401
69	0.02608941563
70	0.02509585654
71	0.02404134398
72	0.02319909686
73	0.02224032384
74	0.0213729334
75	0.02063445596
76	0.01962094502
77	0.01894549076
78	0.01829848592
79	0.01757541214
80	0.01702035986
81	0.01628115351
82	0.01577097305
83	0.01528341035
84	0.01472167366
85	0.01417619668
86	0.01355588924
87	0.01312071593
88	0.01274814927
89	0.01220588672
90	0.01182341227
91	0.01134565632
92	0.01099797627
93	0.01063668842
94	0.01031003955
95	0.01001358908
96	0.009686586782
97	0.009377064422
98	0.009142628428
99	0.00885466098
100	0.008581766286
101	0.008249604983
102	0.008009131883
103	0.007818073091
104	0.007629559456
105	0.007430023071
106	0.007164522944
107	0.006938592337
108	0.006689117967
109	0.006488514234
110	0.006281351899
111	0.006091838972
112	0.005928378471
113	0.005805119576
114	0.005655108552
115	0.005561335449
116	0.005508944464
117	0.00539950858
118	0.005264063938
119	0.005120962883
120	0.004987196814
121	0.004924343535
122	0.004835318504
123	0.004799403673
124	0.004719552676
125	0.004639775893
126	0.004608583078
127	0.004537026787
128	0.00443416619
129	0.00436799261
130	0.00429946797
131	0.004193624329
132	0.004103505364
133	0.004021060228
134	0.003966704082
135	0.003914242494
136	0.00389405832
137	0.003872326737
138	0.003810036918
139	0.00379098684
140	0.003721512141
141	0.003694550155
142	0.003639350052
143	0.003622716721
144	0.003571757412
145	0.003548555466
146	0.003476875588
147	0.003463078159
148	0.003444243354
149	0.003423963058
150	0.003385900743
151	0.003371242131
152	0.003359419001
153	0.003348441844
154	0.003271786179
155	0.003261286315
156	0.003196158788
157	0.003132412456
158	0.003082446003
159	0.003031611794
160	0.003020736909
161	0.003011791325
162	0.002975475407
163	0.002960298934
164	0.002951691966
165	0.002944008109
166	0.00288588577
167	0.002877129304
168	0.002868399046
169	0.002856291473
170	0.002832735006
171	0.002780905348
172	0.00273273706
173	0.002726324585
174	0.002714779351
175	0.002686468647
176	0.002658398977
177	0.002609492737
178	0.002603807581
179	0.002593699599
180	0.002571497791
181	0.002564531836
182	0.002555817709
183	0.002547022679
184	0.002503374845
185	0.0024790311
186	0.002422433243
187	0.002414177639
188	0.002409559925
189	0.002405155135
190	0.002397279947
191	0.002365868793
192	0.002360747433
193	0.002343551684
194	0.002338309413
195	0.002334732364
196	0.002284130301
197	0.002268687385
198	0.002245582568
199	0.002221210008
200	0.002216415269
201	0.00219755756
202	0.002170118479
203	0.002138182844
204	0.002133602355
205	0.002129091068
206	0.002122598679
207	0.002104840786
208	0.002074226862
209	0.002067744955
210	0.002062213604
211	0.002058644445
212	0.0020424263
213	0.002027330708
214	0.001999228099
215	0.001993119266
216	0.001988692028
217	0.001985864185
218	0.001980688657
219	0.001964376746
220	0.001961564892
221	0.00193270868
222	0.001919496815
223	0.001907115951
224	0.001894686137
225	0.001885536134
226	0.001880889009
227	0.001878007685
228	0.001867575339
229	0.001862750381
230	0.001843128281
231	0.001838236745
232	0.001828435
233	0.001815362247
234	0.001792072292
235	0.001788197771
236	0.001785839565
237	0.001783330833
238	0.001779158244
239	0.001768918277
240	0.001764600245
241	0.001762727193
242	0.001750873185
243	0.001748574754
244	0.001726096222
245	0.001713436446
246	0.001709833472
247	0.00170768007
248	0.001704564803
249	0.001682900139
